71839,4
71839,1
71839,3
379082,1
26083,4
26083,1
26083,3
76583,1
59418,1
50593,1
80913,1
322413,1
65552,1
351549,1
51307,1
93024,1
67032,1
77036,1
55434,1
336097,1
185167,1
26215,1
120655,1
185164,1
185166,1
507786,1
507786,3
280246,2
280246,4
280246,1
280246,3
285633,2
285633,4
285633,1
285633,3
119116,2
119116,4
119116,1
119116,3
178741,2
178741,4
178741,1
178741,3
176700,2
176700,4
176700,1
176700,3
255628,2
255628,4
255628,1
255628,3
721,2
721,4
721,1
721,3
177523,1
177523,3
722,2
722,4
722,1
722,3
185972,2
185972,4
185972,1
185972,3
523363,2
523363,4
523363,1
523363,3
80980,2
80980,4
80980,1
80980,3
279648,2
279648,4
279648,1
279648,3
105540,2
105540,4
105540,1
105540,3
156134,2
156134,4
156134,1
156134,3
279647,2
279647,4
279647,1
279647,3
279646,2
279646,4
279646,1
279646,3
279645,2
279645,4
279645,1
279645,3
523362,1
523362,3
737,1
737,3
523361,1
523361,3
260682,4
260682,1
270260,2
270260,1
270260,3
211541,2
211541,1
211541,3
52621,2
52621,1
52621,3
298623,2
298623,1
298623,3
168703,2
168703,1
168703,3
374843,2
374843,1
374843,3
170218,2
170218,1
170218,3
324876,2
324876,1
324876,3
324878,2
324878,1
324878,3
324880,2
324880,1
324880,3
298625,2
298625,1
298625,3
344837,2
344837,1
344837,3
182428,2
182428,1
182428,3
339126,2
339126,1
339126,3
344131,2
344131,1
344131,3
344132,2
344132,1
344132,3
344133,2
344133,1
344133,3
298626,2
298626,1
298626,3
296016,2
296016,1
296016,3
42964,2
42964,1
42964,3
152930,2
152930,1
152930,3
270259,2
270259,1
270259,3
152931,2
152931,1
152931,3
240228,2
240228,1
240228,3
152932,2
152932,1
152932,3
152933,2
152933,1
152933,3
240229,2
240229,1
240229,3
179188,2
179188,1
179188,3
152935,2
152935,1
152935,3
349272,2
349272,1
349272,3
108938,2
108938,1
108938,3
111252,2
111252,1
111252,3
112203,2
112203,1
112203,3
211065,2
211065,1
211065,3
334247,2
334247,1
334247,3
211313,2
211313,1
211313,3
106042,2
106042,4
106042,1
106042,3
101270,2
101270,4
101270,1
101270,3
312575,2
312575,4
312575,1
312575,3
184518,2
184518,4
184518,1
184518,3
282043,3
282043,1
282043,4
282043,2
214929,2
214929,4
214929,1
214929,3
221465,2
221465,4
221465,1
221465,3
147978,2
147978,4
147978,1
147978,3
184488,1
184488,3
184488,4
184488,2
112436,2
112436,4
112436,1
112436,3
139328,4
139328,1
139328,3
139328,2
368000,2
368000,4
368000,1
368000,3
139329,2
139329,4
139329,1
139329,3
184524,2
184524,4
184524,1
184524,3
220727,2
220727,4
220727,1
220727,3
280724,2
280724,4
280724,1
280724,3
156521,1
156521,3
156521,2
184517,4
184517,1
184517,3
333793,4
333793,1
333793,3
112442,2
112442,4
112442,1
112442,3
112444,2
112444,4
112444,1
112444,3
173876,2
173876,4
173876,1
173876,3
173881,2
173881,3
173881,1
173881,4
148633,2
148633,1
148633,3
148633,4
173889,1
173889,3
364778,3
364778,1
364778,4
148672,2
148672,4
148672,1
148672,3
214927,2
214927,4
214927,1
214927,3
202885,2
202885,4
202885,1
202885,3
112430,2
112430,4
112430,1
112430,3
378145,3
378145,1
378145,2
378146,2
378146,4
378146,1
378146,3
378147,1
378147,4
378147,3
333091,2
333091,1
333091,3
184525,2
184525,4
184525,1
184525,3
241693,4
241693,1
241693,3
378156,2
378156,1
378156,3
378156,4
337141,2
337141,4
337141,1
337141,3
112439,4
112439,1
112439,3
184519,4
184519,1
184519,3
112443,2
112443,4
112443,1
112443,3
375089,1
375089,4
375089,3
375089,2
89875,2
89875,4
89875,1
89875,3
95918,2
95918,4
95918,1
95918,3
26468,2
26468,4
26468,1
26468,3
186131,2
186131,3
186131,1
186134,2
186134,3
186134,1
517979,2
517979,1
517979,3
517341,2
517341,4
517341,1
517341,3
337684,2
337684,4
337684,1
337684,3
221474,2
221474,4
221474,1
221474,3
221494,2
221494,4
221494,1
221494,3
831,1
831,2
831,3
840,1
840,2
840,3
186210,1
186210,2
186210,3
186211,1
186211,2
186211,3
186219,2
186219,3
186219,1
292273,2
292273,4
292273,1
292273,3
